Exposure_dose_ug_per_ml,Surface_area_m2g,Formation_enthalpy_eV,Exposure_time_hr,Toxicity
1.0,29.4,-8.91,72.0,0
5.0,29.4,-8.91,72.0,0
10.0,29.4,-8.91,72.0,0
25.0,29.4,-8.91,72.0,1
75.0,29.4,-8.91,72.0,1
100.0,29.4,-8.91,72.0,1
250.0,29.4,-8.91,72.0,1
1.0,30.7,-8.91,24.0,0
5.0,30.7,-8.91,24.0,0
10.0,30.7,-8.91,24.0,0
25.0,30.7,-8.91,24.0,0
75.0,30.7,-8.91,24.0,0
100.0,30.7,-8.91,24.0,0
250.0,30.7,-8.91,24.0,1
1.0,30.7,-8.91,48.0,0
5.0,30.7,-8.91,48.0,0
10.0,30.7,-8.91,48.0,0
25.0,30.7,-8.91,48.0,0
75.0,30.7,-8.91,48.0,1
100.0,30.7,-8.91,48.0,1
250.0,30.7,-8.91,48.0,1
1.0,30.7,-8.91,72.0,0
5.0,30.7,-8.91,72.0,0
10.0,30.7,-8.91,72.0,0
25.0,30.7,-8.91,72.0,1
75.0,30.7,-8.91,72.0,1
100.0,30.7,-8.91,72.0,1
250.0,30.7,-8.91,72.0,1
7.5,29.0,-1.609,24.0,0
15.0,29.0,-1.609,24.0,0
25.0,29.0,-1.609,24.0,0
50.0,29.0,-1.609,24.0,0
100.0,29.0,-1.609,24.0,0
150.0,29.0,-1.609,24.0,0
200.0,29.0,-1.609,24.0,1
300.0,29.0,-1.609,24.0,1
3.0,48.2,-3.608,24.0,0
5.0,48.2,-3.608,24.0,0
12.0,48.2,-3.608,24.0,0
25.0,48.2,-3.608,24.0,0
50.0,48.2,-3.608,24.0,0
70.0,48.2,-3.608,24.0,0
80.0,48.2,-3.608,24.0,0
100.0,48.2,-3.608,24.0,1
7.5,27.5,-9.779,24.0,0
15.0,27.5,-9.779,24.0,0
25.0,27.5,-9.779,24.0,0
50.0,27.5,-9.779,24.0,0
100.0,27.5,-9.779,24.0,0
200.0,27.5,-9.779,24.0,0
300.0,27.5,-9.779,24.0,0
400.0,27.5,-9.779,24.0,0
0.0,167.0,-9.779,72.0,0
0.23,167.0,-9.779,72.0,0
0.47,167.0,-9.779,72.0,0
0.94,167.0,-9.779,72.0,0
1.88,167.0,-9.779,72.0,0
3.75,167.0,-9.779,72.0,0
7.5,167.0,-9.779,72.0,0
15.0,167.0,-9.779,72.0,0
30.0,167.0,-9.779,72.0,0
0.0,20.0,-3.608,72.0,0
0.23,20.0,-3.608,72.0,0
0.47,20.0,-3.608,72.0,0
0.94,20.0,-3.608,72.0,0
1.88,20.0,-3.608,72.0,0
3.75,20.0,-3.608,72.0,0
7.5,20.0,-3.608,72.0,0
15.0,20.0,-3.608,72.0,1
30.0,20.0,-3.608,72.0,1
0.0,42.0,-1.609,72.0,0
0.23,42.0,-1.609,72.0,0
0.47,42.0,-1.609,72.0,0
0.94,42.0,-1.609,72.0,0
1.88,42.0,-1.609,72.0,0
3.75,42.0,-1.609,72.0,0
7.5,42.0,-1.609,72.0,0
15.0,42.0,-1.609,72.0,1
30.0,42.0,-1.609,72.0,1
0.0,26.069,-3.608,6.0,0
12.5,26.069,-3.608,6.0,0
25.0,26.069,-3.608,6.0,0
50.0,26.069,-3.608,6.0,0
100.0,26.069,-3.608,6.0,0
200.0,26.069,-3.608,6.0,0
0.0,26.069,-3.608,12.0,0
12.5,26.069,-3.608,12.0,0
25.0,26.069,-3.608,12.0,0
50.0,26.069,-3.608,12.0,0
100.0,26.069,-3.608,12.0,0
200.0,26.069,-3.608,12.0,0
0.0,26.069,-3.608,24.0,0
12.5,26.069,-3.608,24.0,0
25.0,26.069,-3.608,24.0,0
50.0,26.069,-3.608,24.0,0
100.0,26.069,-3.608,24.0,1
200.0,26.069,-3.608,24.0,1
0.0,26.069,-3.608,48.0,0
12.5,26.069,-3.608,48.0,0
25.0,26.069,-3.608,48.0,0
50.0,26.069,-3.608,48.0,1
100.0,26.069,-3.608,48.0,1
200.0,26.069,-3.608,48.0,1
0.0,23.2,-3.608,3.0,0
1.0,23.2,-3.608,3.0,0
2.5,23.2,-3.608,3.0,0
5.0,23.2,-3.608,3.0,0
10.0,23.2,-3.608,3.0,0
25.0,23.2,-3.608,3.0,0
50.0,23.2,-3.608,3.0,0
100.0,23.2,-3.608,3.0,0
0.0,23.2,-3.608,6.0,0
1.0,23.2,-3.608,6.0,0
2.5,23.2,-3.608,6.0,0
5.0,23.2,-3.608,6.0,0
10.0,23.2,-3.608,6.0,0
25.0,23.2,-3.608,6.0,0
50.0,23.2,-3.608,6.0,0
100.0,23.2,-3.608,6.0,0
0.0,23.2,-3.608,24.0,0
1.0,23.2,-3.608,24.0,0
2.5,23.2,-3.608,24.0,0
5.0,23.2,-3.608,24.0,0
10.0,23.2,-3.608,24.0,0
25.0,23.2,-3.608,24.0,0
50.0,23.2,-3.608,24.0,1
100.0,23.2,-3.608,24.0,1
0.0,23.2,-3.608,48.0,0
1.0,23.2,-3.608,48.0,0
2.5,23.2,-3.608,48.0,0
5.0,23.2,-3.608,48.0,0
10.0,23.2,-3.608,48.0,0
25.0,23.2,-3.608,48.0,1
50.0,23.2,-3.608,48.0,1
100.0,23.2,-3.608,48.0,1
0.0,23.2,-3.608,72.0,0
1.0,23.2,-3.608,72.0,0
2.5,23.2,-3.608,72.0,0
5.0,23.2,-3.608,72.0,0
10.0,23.2,-3.608,72.0,0
25.0,23.2,-3.608,72.0,1
50.0,23.2,-3.608,72.0,1
100.0,23.2,-3.608,72.0,1
0.0,13.3,-3.608,3.0,0
1.0,13.3,-3.608,3.0,0
2.5,13.3,-3.608,3.0,0
5.0,13.3,-3.608,3.0,0
10.0,13.3,-3.608,3.0,0
25.0,13.3,-3.608,3.0,0
50.0,13.3,-3.608,3.0,0
100.0,13.3,-3.608,3.0,0
0.0,13.3,-3.608,6.0,0
1.0,13.3,-3.608,6.0,0
2.5,13.3,-3.608,6.0,0
5.0,13.3,-3.608,6.0,0
10.0,13.3,-3.608,6.0,0
25.0,13.3,-3.608,6.0,0
50.0,13.3,-3.608,6.0,0
100.0,13.3,-3.608,6.0,0
0.0,13.3,-3.608,24.0,0
1.0,13.3,-3.608,24.0,0
2.5,13.3,-3.608,24.0,0
5.0,13.3,-3.608,24.0,0
10.0,13.3,-3.608,24.0,0
25.0,13.3,-3.608,24.0,0
50.0,13.3,-3.608,24.0,1
100.0,13.3,-3.608,24.0,1
0.0,13.3,-3.608,48.0,0
1.0,13.3,-3.608,48.0,0
2.5,13.3,-3.608,48.0,0
5.0,13.3,-3.608,48.0,0
10.0,13.3,-3.608,48.0,0
25.0,13.3,-3.608,48.0,1
50.0,13.3,-3.608,48.0,1
100.0,13.3,-3.608,48.0,1
0.0,13.3,-3.608,72.0,0
1.0,13.3,-3.608,72.0,0
2.5,13.3,-3.608,72.0,0
5.0,13.3,-3.608,72.0,0
10.0,13.3,-3.608,72.0,0
25.0,13.3,-3.608,72.0,1
50.0,13.3,-3.608,72.0,1
100.0,13.3,-3.608,72.0,1
0.0,23.2,-3.608,3.0,0
1.0,23.2,-3.608,3.0,0
2.5,23.2,-3.608,3.0,0
5.0,23.2,-3.608,3.0,0
10.0,23.2,-3.608,3.0,0
25.0,23.2,-3.608,3.0,0
50.0,23.2,-3.608,3.0,0
100.0,23.2,-3.608,3.0,1
0.0,23.2,-3.608,6.0,0
1.0,23.2,-3.608,6.0,0
2.5,23.2,-3.608,6.0,0
5.0,23.2,-3.608,6.0,0
10.0,23.2,-3.608,6.0,0
25.0,23.2,-3.608,6.0,0
50.0,23.2,-3.608,6.0,1
100.0,23.2,-3.608,6.0,1
0.0,23.2,-3.608,24.0,0
1.0,23.2,-3.608,24.0,0
2.5,23.2,-3.608,24.0,0
5.0,23.2,-3.608,24.0,0
10.0,23.2,-3.608,24.0,0
25.0,23.2,-3.608,24.0,0
50.0,23.2,-3.608,24.0,1
100.0,23.2,-3.608,24.0,1
0.0,23.2,-3.608,48.0,0
1.0,23.2,-3.608,48.0,0
2.5,23.2,-3.608,48.0,0
5.0,23.2,-3.608,48.0,0
10.0,23.2,-3.608,48.0,0
25.0,23.2,-3.608,48.0,0
50.0,23.2,-3.608,48.0,1
100.0,23.2,-3.608,48.0,1
0.0,23.2,-3.608,72.0,0
1.0,23.2,-3.608,72.0,0
2.5,23.2,-3.608,72.0,0
5.0,23.2,-3.608,72.0,0
10.0,23.2,-3.608,72.0,0
25.0,23.2,-3.608,72.0,0
50.0,23.2,-3.608,72.0,1
100.0,23.2,-3.608,72.0,1
0.0,13.3,-3.608,3.0,0
1.0,13.3,-3.608,3.0,0
2.5,13.3,-3.608,3.0,0
5.0,13.3,-3.608,3.0,0
10.0,13.3,-3.608,3.0,0
25.0,13.3,-3.608,3.0,0
50.0,13.3,-3.608,3.0,0
100.0,13.3,-3.608,3.0,1
0.0,13.3,-3.608,6.0,0
1.0,13.3,-3.608,6.0,0
2.5,13.3,-3.608,6.0,0
5.0,13.3,-3.608,6.0,0
10.0,13.3,-3.608,6.0,0
25.0,13.3,-3.608,6.0,0
50.0,13.3,-3.608,6.0,1
100.0,13.3,-3.608,6.0,1
0.0,13.3,-3.608,24.0,0
1.0,13.3,-3.608,24.0,0
2.5,13.3,-3.608,24.0,0
5.0,13.3,-3.608,24.0,0
10.0,13.3,-3.608,24.0,0
25.0,13.3,-3.608,24.0,0
50.0,13.3,-3.608,24.0,1
100.0,13.3,-3.608,24.0,1
0.0,13.3,-3.608,48.0,0
1.0,13.3,-3.608,48.0,0
2.5,13.3,-3.608,48.0,0
5.0,13.3,-3.608,48.0,0
10.0,13.3,-3.608,48.0,0
25.0,13.3,-3.608,48.0,0
50.0,13.3,-3.608,48.0,1
100.0,13.3,-3.608,48.0,1
0.0,13.3,-3.608,72.0,0
1.0,13.3,-3.608,72.0,0
2.5,13.3,-3.608,72.0,0
5.0,13.3,-3.608,72.0,0
10.0,13.3,-3.608,72.0,0
25.0,13.3,-3.608,72.0,0
50.0,13.3,-3.608,72.0,1
100.0,13.3,-3.608,72.0,1
0.0,52.7376093,-3.608,24.0,0
10.0,52.7376093,-3.608,24.0,0
20.0,52.7376093,-3.608,24.0,0
30.0,52.7376093,-3.608,24.0,0
40.0,52.7376093,-3.608,24.0,1
50.0,52.7376093,-3.608,24.0,1
60.0,52.7376093,-3.608,24.0,1
1200.0,41.13533525,-3.608,24.0,1
600.0,41.13533525,-3.608,24.0,1
300.0,41.13533525,-3.608,24.0,1
150.0,41.13533525,-3.608,24.0,1
75.0,41.13533525,-3.608,24.0,1
37.5,41.13533525,-3.608,24.0,0
18.75,41.13533525,-3.608,24.0,0
9.375,41.13533525,-3.608,24.0,0
1200.0,41.13533525,-3.608,24.0,1
600.0,41.13533525,-3.608,24.0,1
300.0,41.13533525,-3.608,24.0,1
150.0,41.13533525,-3.608,24.0,1
75.0,41.13533525,-3.608,24.0,1
37.5,41.13533525,-3.608,24.0,0
18.75,41.13533525,-3.608,24.0,0
9.375,41.13533525,-3.608,24.0,0
0.0,130.1461976,-11.59,6.0,0
100.0,130.1461976,-11.59,6.0,0
500.0,130.1461976,-11.59,6.0,0
1000.0,130.1461976,-11.59,6.0,1
0.0,130.1461976,-11.59,12.0,0
100.0,130.1461976,-11.59,12.0,1
500.0,130.1461976,-11.59,12.0,1
1000.0,130.1461976,-11.59,12.0,1
0.0,130.1461976,-11.59,24.0,0
100.0,130.1461976,-11.59,24.0,0
500.0,130.1461976,-11.59,24.0,0
1000.0,130.1461976,-11.59,24.0,1
100.0,38.61003861,-11.59,24.0,0
200.0,38.61003861,-11.59,24.0,0
400.0,38.61003861,-11.59,24.0,0
0.0,10.69518717,-3.608,24.0,0
10.0,10.69518717,-3.608,24.0,0
20.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,48.0,0
40.0,10.69518717,-3.608,48.0,0
50.0,10.69518717,-3.608,48.0,0
60.0,10.69518717,-3.608,48.0,0
0.0,10.69518717,-3.608,24.0,0
10.0,10.69518717,-3.608,24.0,0
20.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,48.0,0
40.0,10.69518717,-3.608,48.0,1
50.0,10.69518717,-3.608,48.0,1
60.0,10.69518717,-3.608,48.0,1
0.0,10.69518717,-3.608,24.0,0
10.0,10.69518717,-3.608,24.0,0
20.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,24.0,0
30.0,10.69518717,-3.608,48.0,1
40.0,10.69518717,-3.608,48.0,1
50.0,10.69518717,-3.608,48.0,1
60.0,10.69518717,-3.608,48.0,1
0.0,74.65472191,-9.779,24.0,0
10.0,74.65472191,-9.779,24.0,0
30.0,74.65472191,-9.779,24.0,0
50.0,74.65472191,-9.779,24.0,0
70.0,74.65472191,-9.779,24.0,0
